Geneid,ProteinID,TranscriptID
gene_23,2000338,2000822
gene_27,2000556,2001040
gene_40,2001278,2001762
gene_45,2001384,2001868
gene_46,2001420,2001904
gene_52,2001765,2002249
gene_66,2002206,2002690
gene_82,2003232,2003716
gene_84,2003301,2003785
gene_86,2003393,2003877
gene_94,2004161,2004645
gene_103,2004782,2005266
gene_114,2005623,2006107
gene_115,2005724,2006208
gene_121,2006033,2006517
gene_123,2006091,2006575
gene_136,2006701,2007185
gene_135,2006727,2007211
gene_143,2007181,2007665
gene_151,2007279,2007763
gene_156,2007427,2007911
gene_170,2008270,2008754
gene_191,2009218,2009702
gene_196,2009291,2009775
gene_198,2010078,2010562
gene_203,2010565,2011049
gene_206,2010657,2011141
gene_222,2011684,2012168
gene_227,2012176,2012660
gene_231,2012252,2012736
gene_230,2012278,2012762
gene_243,2012668,2013152
gene_242,2012687,2013171
gene_246,2012790,2013274
gene_248,2012793,2013277
gene_258,2013554,2014038
gene_269,2014220,2014704
gene_285,2015122,2015606
gene_309,2016609,2017093
gene_311,2016747,2017231
gene_322,2017357,2017841
gene_325,2017441,2017925
gene_330,2017643,2018127
gene_331,2017832,2018316
gene_333,2017860,2018344
gene_345,2018496,2018980
gene_357,2019127,2019611
gene_360,2019265,2019749
gene_372,2019842,2020326
gene_387,2020337,2020821
gene_402,2020705,2021189
gene_411,2021296,2021780
gene_414,2022141,2022625
gene_431,2023192,2023676
gene_466,2024747,2025231
gene_481,2025608,2026092
gene_478,2025662,2026146
gene_479,2025994,2026478
gene_508,2028234,2028718
gene_510,2028544,2029028
gene_519,2028828,2029312
gene_522,2028894,2029378
gene_549,2030401,2030885
gene_556,2031354,2031838
gene_601,2032991,2033475
gene_603,2033078,2033562
gene_611,2033280,2033764
gene_612,2033370,2033854
gene_619,2033651,2034135
gene_626,2033990,2034474
gene_627,2033996,2034480
gene_639,2034488,2034972
gene_657,2035334,2035818
gene_671,2035825,2036309
gene_674,2036006,2036490
gene_684,2037024,2037508
gene_688,2037150,2037634
gene_689,2037185,2037669
gene_697,2037351,2037835
gene_715,2038626,2039110
gene_760,2040368,2040852
gene_767,2040596,2041080
gene_783,2040977,2041461
gene_798,2041819,2042303
gene_804,2042448,2042932
gene_807,2042646,2043130
gene_895,2046519,2047003
gene_893,2046557,2047041
gene_898,2046958,2047442
gene_914,2047506,2047990
gene_915,2047522,2048006
gene_920,2047958,2048442
gene_928,2048553,2049037
gene_934,2048960,2049444
gene_939,2049226,2049710
gene_952,2049688,2050172
gene_962,2049995,2050479
gene_978,2050910,2051394
gene_985,2051102,2051586
gene_1002,2051859,2052343
gene_1008,2052151,2052635
gene_1023,2052676,2053160
gene_1041,2053513,2053997
gene_1077,2055427,2055911
gene_1085,2056157,2056641
gene_1088,2056300,2056784
gene_1112,2057243,2057727
gene_1108,2057744,2058228
gene_1119,2058324,2058808
gene_1126,2058792,2059276
gene_1133,2059153,2059637
gene_1142,2059573,2060057
gene_1146,2059595,2060079
gene_1176,2060609,2061093
gene_1180,2060679,2061163
