library_name	sample_name	strain	cSource	time
OGOAP	Ds_30b	ace3_13-5	glycerolMEA	3d2d
OGOAS	Ds_30c	ace3_13-5	glycerolMEA	3d2d
OGNZT	Ds_26a	ace3_13-5	glycerol	5d
OGNZU	Ds_26b	ace3_13-5	glycerol	5d
OGNZW	Ds_26c	ace3_13-5	glycerol	5d
OGOBA	Ds_33a	ace3_13-5	celluloseMEA	3d2d
OGOBB	Ds_33b	ace3_13-5	celluloseMEA	3d2d
OGOBC	Ds_33c	ace3_13-5	celluloseMEA	3d2d
OGOBG	Ds_34a	ace3_13-5	xylanMEA	3d2d
OGOBH	Ds_34b	ace3_13-5	xylanMEA	3d2d
OGOBN	Ds_34c	ace3_13-5	xylanMEA	3d2d
OGOAG	Ds_29a	ace3_13-5	xylan	5d
OGOAH	Ds_29b	ace3_13-5	xylan	5d
OGOAN	Ds_29c	ace3_13-5	xylan	5d
OGOAX	Ds_32a	ace3_13-5	galactoseMEA	3d2d
OGOAY	Ds_32b	ace3_13-5	galactoseMEA	3d2d
OGOAZ	Ds_32c	ace3_13-5	galactoseMEA	3d2d
OGOAT	Ds_31a	ace3_13-5	glucoseMEA	3d2d
OGOAU	Ds_31b	ace3_13-5	glucoseMEA	3d2d
OGOAW	Ds_31c	ace3_13-5	glucoseMEA	3d2d
OGNZX	Ds_27a	ace3_13-5	glucose	5d
OGNZY	Ds_27b	ace3_13-5	glucose	5d
OGNZZ	Ds_27c	ace3_13-5	glucose	5d
OGOAA	Ds_28a	ace3_13-5	cellobiose	5d
OGOAB	Ds_28b	ace3_13-5	cellobiose	5d
OGOAC	Ds_28c	ace3_13-5	cellobiose	5d
OGOBO	Ds_35a	ace3_13-5	lactoseMEA	3d2d
OGOBP	Ds_35b	ace3_13-5	lactoseMEA	3d2d
OGOBS	Ds_35c	ace3_13-5	lactoseMEA	3d2d
