"","OGNWH","OGNWN","OGNWO","OGNTP","OGNTS","OGNTT","OGNYZ","OGNZA","OGNZB","OGNZC","OGNYB","OGNYC","OGNYG","OGNXP","OGNXS","OGNXT","OGNYU","OGNYW","OGNYX","OGNYY","OGNUS","OGNUT","OGNXY","OGNXZ","OGNYA","OGNUY","OGNUZ","OGNWA","OGNXH","OGNXN","OGNXO","OGNWB","OGNWC","OGNWG","OGNZP","OGNZS","OGNYP","OGNYS","OGNYT","OGNXU","OGNXW","OGNXX","OGNZG","OGNZH","OGNZN","OGNUU","OGNUW","OGNUX","OGNYH","OGNYN","OGNYO","OGNWU","OGNWW","OGNWX","OGNWY","OGNWZ","OGNXA","OGNWP","OGNWS","OGNWT","OGNTU","OGNTW","OGNTX","OGNUB","OGNUC","OGNUG","OGNTY","OGNTZ","OGNUA","OGNUH","OGNUN","OGNUO","OGNXB","OGNXC","OGNXG","OGOAP","OGOAS","OGNZT","OGNZU","OGNZW","OGOBA","OGOBB","OGOBC","OGOBG","OGOBH","OGOBN","OGOAG","OGOAH","OGOAN","OGOAX","OGOAY","OGOAZ","OGOAT","OGOAU","OGOAW","OGNZX","OGNZY","OGNZZ","OGOAA","OGOAB","OGOAC","OGOBO","OGOBP","OGOBS"
"OGNWH",1,0.98833169205029,0.976254211587666,0.705045603419702,0.677520533746786,0.765202275123828,0.797567786410156,0.760508815473986,0.737740064962777,0.773216248744499,0.573808564057942,0.555541193755426,0.595051947277406,0.749483457459552,0.731477810055668,0.823357809070338,0.734193771383416,0.728949938819431,0.647939746243212,0.801762107160292,0.492274537736623,0.55264835631273,0.577843882263682,0.5869653899301,0.559375597592599,0.672278235373694,0.693000648632372,0.707360444258639,0.658548292582565,0.588557692695706,0.605058192958566,0.572909643945358,0.58377196003868,0.600589310101459,0.633803409458598,0.642629978147348,0.573573563063551,0.566266949326035,0.558916759228134,0.94391254255022,0.791461946892602,0.965598863379608,0.842917843346481,0.812598995495533,0.766386229361413,0.815611422658911,0.681175061854779,0.716994703998484,0.567325072803025,0.565364367150808,0.583289221448356,0.750017771823015,0.786245366807123,0.701373027686438,0.851044144392022,0.852080823342404,0.867639946701456,0.939660899256308,0.976571828558249,0.975250500967952,0.853243662020276,0.853390320158804,0.576154843522416,0.923393057064594,0.913255294375154,0.885482040105484,0.433472388068936,0.451143416656178,0.43431155057396,0.898383084420787,0.773266528805839,0.752038946426087,0.947394984047712,0.960292819399437,0.929676377662283,0.972016894994191,0.983534366782954,0.685804062387392,0.765733373123311,0.726805551610936,0.903181691128655,0.941346353464574,0.898864561305414,0.88041719075065,0.888163846545102,0.873876011092752,0.715513506134837,0.619987281998914,0.663067188829569,0.839449185212608,0.770713265159105,0.879277623455958,0.914912756164212,0.977705514819042,0.94885670004762,0.87833893442288,0.914272497982673,0.89410908306841,0.903481983209598,0.913200661581704,0.887744956908736,0.951186949395138,0.949442363059035,0.968375052714472
"OGNWN",0.98833169205029,1,0.963553815355928,0.648770576401304,0.609527006907075,0.70821283963866,0.74580602098581,0.705155983830218,0.692823916873263,0.729521512092523,0.525696489200475,0.507720179052028,0.55293307699921,0.748981151970799,0.741256332321729,0.838256939995911,0.696803843958757,0.687907633419531,0.62946140510831,0.778511464408442,0.454888906841885,0.502873741009985,0.530635889935185,0.54150964948096,0.519520338200551,0.610906575223262,0.632684050533829,0.647586161813557,0.595749691231044,0.522212175532058,0.537527786584638,0.513535311350078,0.524063261093363,0.538936203847159,0.566726336433874,0.572505960963956,0.513785083763366,0.506966746741796,0.496034175956481,0.922096450169505,0.735527172921789,0.946877535901334,0.791137089762886,0.756705526677626,0.70595120917558,0.761373134520157,0.611037818443939,0.648238381714133,0.508107071433561,0.50619097794229,0.523909951530002,0.692185943352389,0.742580362368756,0.643723911680353,0.81060341253581,0.825619318804372,0.845493495422329,0.945106833886749,0.970303466557486,0.971791467217809,0.821669765339213,0.804380709480288,0.518894524568772,0.911308464447223,0.891449056894489,0.853315378277079,0.385561286070784,0.403044499520428,0.386320663784669,0.875693333843447,0.737742882187629,0.714031284563935,0.945354062576111,0.955579057797383,0.913565851400544,0.977960768546748,0.981936831524222,0.63683593601834,0.712660590715189,0.68565532391526,0.88534033504847,0.934141081160873,0.904273464846462,0.854717217388643,0.844151053936912,0.828710610692077,0.64312102146874,0.540230068303735,0.589187734699535,0.794659162913771,0.715667389561377,0.830769693330098,0.883879252330068,0.963943412486574,0.942704666857264,0.85470029856395,0.889920674203958,0.8518358662639,0.882890265607824,0.918043213245202,0.870050656286669,0.940360408640011,0.934062038787203,0.961551673735368
"OGNWO",0.976254211587666,0.963553815355928,1,0.704412450756951,0.690718222133348,0.770788322606073,0.736600088353773,0.715615177484483,0.727495488067644,0.733755823595382,0.48552123031376,0.458906251514402,0.503281451285988,0.750869202561787,0.725334834440359,0.819127550485067,0.683413492884969,0.669110246165519,0.633127013866686,0.764291879321699,0.459942641011486,0.500096097720374,0.494534633015418,0.508462226962683,0.476963426153503,0.650557134319197,0.668307825379099,0.685016040677549,0.626543494113957,0.557811991218803,0.576577413679162,0.519453552723953,0.533064021410981,0.547416791954003,0.592457733996276,0.610149162507162,0.498729649637919,0.486161064299225,0.479108879060381,0.925520492793043,0.835464746373924,0.947438651358923,0.832529902638307,0.809979889163623,0.770281575330665,0.807856648009706,0.682263098536487,0.708181374149545,0.501401429914641,0.491930711964188,0.515721436673407,0.711752423547558,0.721439516683598,0.66901256715737,0.837627089193686,0.844903103599758,0.860740169887434,0.926713432664982,0.927242733967942,0.941090215476438,0.815879194808147,0.825442535415378,0.506151092698031,0.917657741769807,0.894176727396565,0.869128050414337,0.392907500897038,0.408754397919158,0.391981157571806,0.833526369136718,0.727356018344275,0.71005077130038,0.896764203382568,0.919009276389047,0.900778574635515,0.929705892307866,0.949885858887073,0.697840896902071,0.785625153906122,0.738879376329664,0.933552038726063,0.936539241804481,0.907104277560007,0.9061001020803,0.897308795318185,0.884098205915393,0.718502786324301,0.63953186923909,0.675902222280175,0.789922058458944,0.730944998890347,0.878674569236859,0.888736005229468,0.94429832963084,0.89373706250301,0.878609652294062,0.916190661349693,0.880081356801143,0.910512346805426,0.917095352364912,0.893343472166114,0.925145684461699,0.920915076788862,0.922451366698629
"OGNTP",0.705045603419702,0.648770576401304,0.704412450756951,1,0.957962684249021,0.984170276864427,0.774820993082581,0.792716338651606,0.792805230875287,0.777498429248405,0.669546655109142,0.638716533246428,0.643865758308903,0.543745094255681,0.499701537576965,0.561323587236115,0.73293409214027,0.704082603826466,0.678473961248605,0.741288055093361,0.587425586220856,0.638517038960564,0.741397162652587,0.762972908623526,0.723765369503136,0.822472987653384,0.851032483999463,0.862588859353427,0.781280850225276,0.718557230459879,0.732852561156563,0.696965626856287,0.726289962924343,0.706651611099664,0.751460111249945,0.810242197055247,0.725069228734271,0.705889004166588,0.700174896904366,0.780128565496991,0.769286593425938,0.764754295131916,0.819132024191669,0.819591664121555,0.844302581956899,0.900607057288002,0.880749861078897,0.85304436005777,0.767471523320165,0.739552610152883,0.816592241770966,0.791089637568335,0.791851618311743,0.779132592888175,0.747673535844325,0.734242067925526,0.733021005024052,0.713455908532362,0.70985766361577,0.712643386555697,0.898819730148656,0.900018544563414,0.650303992096642,0.786523816018101,0.839166323452541,0.866394111946308,0.568900694187058,0.56084713264301,0.542599097841039,0.735346131843841,0.769269262435237,0.78381940938745,0.670328253932048,0.683977688070252,0.726415741554627,0.686570564046618,0.713748602481904,0.940890071963342,0.924617564563268,0.943402298046631,0.685908795992535,0.677764634837163,0.613468262022917,0.756585386554793,0.821713666287378,0.810203055806521,0.896104345775602,0.82887768557139,0.867098130983066,0.798819245854068,0.787197640922198,0.81675393439936,0.756770560771738,0.744810473986122,0.725187539568254,0.797095409239666,0.805266977957828,0.87431441292854,0.776156498888048,0.776580104529841,0.764551996789287,0.682732284236606,0.72489162234918,0.684718943590379
"OGNTS",0.677520533746786,0.609527006907075,0.690718222133348,0.957962684249021,1,0.978412816353176,0.74360562958813,0.772725283342745,0.751769503996764,0.725657138262287,0.641005865266159,0.614199792802109,0.597477383050299,0.511024369184502,0.463167843256536,0.520796076581377,0.684540194319446,0.672631032079578,0.647897475726399,0.670488772154183,0.560130632945492,0.622327181220927,0.714221129469899,0.733738583977939,0.666160361853257,0.807309944012948,0.822085239970518,0.843369237515281,0.809271364334339,0.768989787854998,0.776461882905704,0.689367657247937,0.707087466651835,0.706372389787142,0.754190406785647,0.79670669045452,0.692683202874895,0.671648042073923,0.670516236956609,0.753612353916517,0.80680280752174,0.742210580598993,0.814116613453919,0.82705891675229,0.855270351532967,0.871287030357116,0.868191548336365,0.847066168777481,0.747141087220965,0.709166498675461,0.782222125162061,0.783323015134723,0.763155455043657,0.776030966329598,0.747073617999631,0.727854725886809,0.72300517316494,0.678866603878582,0.666390355095514,0.670356204291097,0.820708454674886,0.880672156430298,0.637692281500339,0.752261973771647,0.793360580407099,0.826804840387025,0.577426920571072,0.566538454873353,0.555455713150651,0.695076496658134,0.739772626849165,0.747835212630948,0.620576944765696,0.640340952833434,0.680714077245322,0.642757835852946,0.676198462375677,0.876739524413638,0.912069044071544,0.861773681798818,0.678444041150327,0.65138542181593,0.584860862737922,0.744431711402685,0.819406525580535,0.80961076975461,0.896162411045519,0.851849842355171,0.881016670142956,0.788409537182278,0.786983443063917,0.819721830996349,0.730417361405068,0.704738715780937,0.690014483540335,0.74669389831387,0.774502460958995,0.851102589317064,0.741594559465876,0.704300758655611,0.712733751669988,0.646171124954201,0.686229578033169,0.647521855192549
"OGNTT",0.765202275123828,0.70821283963866,0.770788322606073,0.984170276864427,0.978412816353176,1,0.796385882997603,0.813227832772838,0.797796217051679,0.789407961940751,0.675109007300518,0.644637654428888,0.648514731825418,0.584958586439648,0.539364258389136,0.607916937351956,0.744250383190588,0.725374142379277,0.692796767267619,0.752314552202114,0.585291769586728,0.645052795309305,0.732252023148487,0.751593495913144,0.704098380147176,0.829625048673511,0.853347276038976,0.869494165025634,0.8106045416929,0.751445088749622,0.765157092279227,0.706288319996914,0.728746899070763,0.721361458840231,0.764100130888974,0.810902351796735,0.721632884425084,0.702769181707193,0.696639645175436,0.82877133944796,0.823314677205576,0.820783451554063,0.862466286241522,0.864302623046945,0.881949229956831,0.918042780782346,0.887777936295489,0.869729769831259,0.761453537487285,0.729017139947852,0.800425439278649,0.81647961708869,0.811775666457325,0.800492865669553,0.795512002893959,0.784943323835931,0.784329490070362,0.759535197184874,0.75679183710801,0.760935631518551,0.901503349710141,0.926475386103289,0.659597033024046,0.830985365473401,0.870905126109349,0.894799567394831,0.572992028982579,0.568476292040775,0.552151514270806,0.772301269517776,0.79075889010086,0.796600367211285,0.713662460337751,0.731743972277168,0.765506893931096,0.737402888850361,0.766595073492561,0.926274082953229,0.949058771657103,0.921699226250053,0.750056712350337,0.738784644113541,0.67441678631013,0.80874390536458,0.871178630992155,0.859414438584918,0.914633363695205,0.848387939024631,0.883078229532268,0.837213190145114,0.821157933721699,0.867201566372674,0.800043169029443,0.793450014543192,0.768147276117971,0.836157755338693,0.84813033013733,0.912091749836923,0.822623960920703,0.805705579424299,0.805258760910537,0.733304313850042,0.769790710120819,0.735294729215255
"OGNYZ",0.797567786410156,0.74580602098581,0.736600088353773,0.774820993082581,0.74360562958813,0.796385882997603,1,0.976259611640751,0.796153071163766,0.914390026483706,0.751986922155868,0.714971181122392,0.727367237472225,0.676071450919785,0.647925955027144,0.688905312967994,0.880123648018655,0.897640245154111,0.697385434967682,0.87945644271939,0.703311027819599,0.777196423735571,0.718585053075012,0.714541525140357,0.678688440414741,0.839583735923255,0.842743128302361,0.851752066543625,0.765587133579642,0.735908140761325,0.751043182945278,0.834440087154306,0.83680676759623,0.850680559126512,0.858423060634505,0.86492267475543,0.845703735020751,0.828744017312833,0.842406651294757,0.830439569503111,0.745365814065686,0.82632831776976,0.874621990024631,0.848738245530094,0.804305689148345,0.829451620946793,0.796248621338539,0.837850557830408,0.820014532070514,0.839922437411035,0.817953963985127,0.847683739895056,0.84586251555517,0.81743130503637,0.854279717666925,0.795537120132915,0.796390623091127,0.798914201536342,0.847050291746556,0.838686762228496,0.862457417964889,0.905416646027392,0.754429598991557,0.839150782292919,0.860308892654805,0.874476395521833,0.627808702648905,0.650909798776709,0.627527961054886,0.917365578319265,0.899924038213014,0.883419747961574,0.822960673451866,0.83647444098626,0.846414825720206,0.784478522479333,0.812499281138254,0.735699911328137,0.776168221292321,0.721294200956066,0.667861434558298,0.695156363441605,0.61897583630098,0.755796994029985,0.832104897232283,0.817515210082006,0.798601390291902,0.720593494972621,0.740792903193894,0.861773448480171,0.842566956301436,0.828159893387377,0.897945601962656,0.860010377538399,0.848808999071303,0.818440819234501,0.839981969178486,0.884456809309272,0.80419189685641,0.719859996476536,0.785374607810685,0.783590077544134,0.798934417732826,0.818730022030788
"OGNZA",0.760508815473986,0.705155983830218,0.715615177484483,0.792716338651606,0.772725283342745,0.813227832772838,0.976259611640751,1,0.796757106342837,0.924470404862334,0.715291172531714,0.678255939441291,0.687906793074744,0.685091675678501,0.653624465290741,0.683215396741867,0.887983203443185,0.885897675409587,0.700413028759149,0.868331172120833,0.743585667098588,0.799000965736894,0.698678094012031,0.694626995506621,0.655260327234428,0.852614227626627,0.854476037992624,0.871950374982756,0.776409315669084,0.758057074808327,0.767350960660799,0.852120612229284,0.854126675974449,0.85796946041021,0.885224800602968,0.897511819862318,0.823174473912371,0.800067309736027,0.813561216918995,0.820051949363335,0.776561695546661,0.806962749259382,0.866872597683927,0.857813559132719,0.825744186946894,0.841847044642776,0.822626454634348,0.840708288558206,0.802761775894285,0.806633708765852,0.812774880296671,0.868200742920707,0.846670315381701,0.847850145850545,0.860488377943902,0.796473089579801,0.793389480356305,0.792878999496104,0.816671155953482,0.815071966354184,0.854825506042678,0.915598731130958,0.757893249766657,0.813427896859367,0.839662178762884,0.868882148427089,0.63862460798521,0.658841019515475,0.636240095855319,0.894318966125802,0.921995645827597,0.905762174016201,0.796677234278645,0.809549156447348,0.830597457478815,0.752273303146847,0.784917176644862,0.757518204438653,0.792859909651938,0.7295880644923,0.646200297584449,0.657911230300561,0.583722037620689,0.753631854562923,0.832151061901917,0.81709606268072,0.822124641907819,0.738983262034566,0.75828684580616,0.863055244872097,0.859155220355109,0.84004004696922,0.888380728909374,0.831249896085134,0.82756852636145,0.800850066507142,0.82401159979577,0.8786902302938,0.779865428486731,0.694632211561924,0.763120235601492,0.755164678505236,0.780535846272915,0.784507456413808
"OGNZB",0.737740064962777,0.692823916873263,0.727495488067644,0.792805230875287,0.751769503996764,0.797796217051679,0.796153071163766,0.796757106342837,1,0.8411101840441,0.622397729455875,0.598232404881506,0.625624046154816,0.769766828784237,0.734124939633099,0.767661388696885,0.814522198628409,0.709466648815159,0.834459417270092,0.819301195643571,0.715399504335858,0.688921029013017,0.672479385062773,0.717758494858982,0.670839061283499,0.726369601978369,0.754603425464587,0.748862697231805,0.663065207065576,0.61616488415844,0.626205305268794,0.664225933848355,0.673119183880231,0.670706019514256,0.70511538879101,0.745325180378374,0.657387525775869,0.648621515591515,0.644103427398051,0.796763576453949,0.687206008955772,0.769928064416364,0.835308778366741,0.832590984646156,0.805780113140801,0.804843817281003,0.730126728886837,0.74805852313546,0.666369995416006,0.657612738232186,0.713811364049701,0.744686087646917,0.745916184843165,0.718139869210448,0.726459634381511,0.709123009809046,0.709333166275929,0.721161638848152,0.7420923446169,0.739678626904336,0.821445136410823,0.82337298992915,0.598056768316417,0.777870008484932,0.79371921702085,0.805439420943215,0.476649933059837,0.480786096312762,0.467411588637781,0.786079343069992,0.777335568553699,0.788710917022531,0.713861231244283,0.732618094641164,0.747315884808898,0.714732368808124,0.743954289972762,0.748699482305312,0.790926653993873,0.809699444421367,0.727809362910613,0.724588804744258,0.697712795540717,0.741172055805469,0.792210103970077,0.774434918262864,0.76793164368294,0.711839680845772,0.752105613812333,0.782716184104877,0.750986395191501,0.79660761721505,0.769514335171469,0.790074145962154,0.737509292761756,0.794790086062059,0.835286638811661,0.835915198549695,0.815389138988499,0.781070415536429,0.810968181549981,0.764711641798823,0.774120816949101,0.726890447641065
"OGNZC",0.773216248744499,0.729521512092523,0.733755823595382,0.777498429248405,0.725657138262287,0.789407961940751,0.914390026483706,0.924470404862334,0.8411101840441,1,0.692241882741308,0.660440410798857,0.700839314959381,0.773207193628569,0.750130102423167,0.77149436072014,0.957154442448786,0.825303559106375,0.777605992327126,0.957856243028106,0.810786380979771,0.775071601472562,0.672670452773491,0.684796727721669,0.65818792460911,0.815147769121916,0.85791290832859,0.860694454281107,0.739280234035764,0.688072664222201,0.689676804468732,0.805926727337646,0.838043734578479,0.786114775869093,0.818374770407106,0.896230226702946,0.780841105543996,0.768845726617758,0.772934475953207,0.8268941008833,0.760606217321218,0.812457470616089,0.837372917554595,0.829417303024926,0.833883704806702,0.866106188326751,0.821759251924734,0.815129699719655,0.750879211607602,0.74431809016058,0.784834284634397,0.830926711687088,0.823901348875359,0.80160728244037,0.819451798238072,0.779024217446003,0.779027489664524,0.815617440314977,0.829307387029598,0.828824927099951,0.872041258025924,0.902670640471536,0.691128129288235,0.801138151307122,0.843152717722221,0.865663610105799,0.542378775578214,0.552678467541283,0.53800056817193,0.871073220692929,0.916479583727438,0.930453735078041,0.812611444640652,0.821354905247044,0.860909059379077,0.780015872930046,0.799667056869111,0.739492185872246,0.766795812928391,0.756083005546476,0.668821829599768,0.684289589482042,0.613274918038624,0.771247658070878,0.825586370616266,0.814504667129023,0.819388313180824,0.707802107657479,0.740040661651194,0.834668392323748,0.8158823761939,0.814865726626831,0.863605281763937,0.847753573088331,0.835626195683224,0.786966727421432,0.837302047548346,0.883787296793797,0.784520331972652,0.756597938081105,0.770260400637361,0.757473185809877,0.786037910910402,0.793051392125504
